21,215,235,215,235,235,80,175,235,21,215,1,235,12,195,21,61,41,195,1,215,1,21,21,195,1,195,61,21,21,235,235,235,195,21,175,238,195,18,1,21,41,1,1,21,9,215,21,21,195,21,235,6,1,15,235,252,1,1,195,61,195,1,215
196,40,26,234,234,214,254,214,234,40,254,254,20,254,40,40,234,60,254,214,22,40,20,20,194,199,194,20,20,31,20,20,6,254,254,234,251,234,234,20,234,254,225,214,254,204,214,254,234,80,234,20,34,194,40,194,20,207,214,20,254,254,254,254
232,127,127,127,221,127,128,127,128,127,127,241,127,128,127,127,128,47,127,128,127,128,107,221,128,128,221,161,128,127,127,128,128,127,127,128,127,127,221,128,42,128,127,127,127,9,181,107,58,127,128,107,48,241,128,128,127,128,161,161,128,128,127,141
50,245,70,70,30,90,205,225,205,225,11,165,165,225,165,50,50,225,30,205,11,245,50,205,245,165,50,225,222,145,225,225,185,245,225,30,245,205,30,225,225,245,11,11,145,225,30,11,225,90,185,245,11,165,50,245,41,30,225,90,225,225,11,205
21,235,175,235,1,215,80,195,61,235,155,41,215,1,175,41,235,215,1,1,172,235,21,235,1,21,1,1,1,21,235,195,21,21,21,21,182,215,56,21,41,215,1,1,41,41,195,21,1,195,1,235,226,61,215,235,80,71,235,193,21,46,235,41
224,224,10,50,224,164,244,224,30,184,127,50,224,70,127,70,50,144,30,244,244,30,90,10,204,127,204,244,49,204,10,10,216,70,90,50,184,90,164,127,164,244,244,70,144,203,244,70,184,127,70,144,224,90,244,10,244,50,10,204,244,90,50,244
165,71,174,245,225,165,127,128,185,145,31,127,71,31,127,11,165,128,128,91,242,145,245,127,205,127,71,205,31,108,31,127,128,71,205,145,212,245,51,245,71,225,205,128,11,128,71,71,27,245,51,110,236,127,51,11,157,51,245,205,51,110,245,71
245,10,10,245,10,10,245,10,10,245,10,10,245,245,245,10,10,10,245,10,245,245,10,10,245,10,245,10,10,245,10,245,245,10,245,10,10,245,245,245,10,10,10,245,10,10,10,245,10,10,245,245,10,245,245,245,10,245,10,247,245,245,245,245
127,127,40,214,48,127,128,128,60,119,128,128,128,127,119,128,127,128,128,127,234,127,80,128,80,128,60,254,127,194,128,127,127,20,119,254,251,128,134,194,40,194,136,234,128,127,119,128,178,234,84,127,128,99,127,127,127,45,174,128,127,127,99,128
128,128,128,90,128,128,128,127,127,127,127,128,127,128,128,128,127,127,128,127,128,128,128,128,168,93,127,128,128,127,128,128,127,128,127,127,128,73,128,128,127,127,128,128,128,1,127,127,127,128,247,127,128,127,128,127,128,127,128,128,127,127,128,127
128,127,128,227,128,127,133,98,78,127,128,127,128,128,127,173,28,127,213,213,128,128,128,127,127,127,128,213,198,187,19,213,98,127,153,128,127,128,128,128,127,127,46,128,78,128,127,173,128,127,128,78,128,128,127,128,128,128,127,173,128,127,128,173
246,32,127,12,111,128,32,128,12,226,246,186,186,128,166,91,200,128,186,186,127,212,246,52,127,128,12,246,186,146,32,226,6,166,127,12,128,246,127,186,166,246,127,72,206,22,246,91,96,128,91,32,217,72,80,166,246,127,206,111,128,206,246,72
175,81,127,1,104,127,1,135,175,1,215,215,175,135,215,41,215,215,128,41,127,215,1,215,127,175,175,41,128,175,215,41,215,215,175,215,175,128,127,128,41,81,1,215,128,192,41,41,81,1,1,127,121,175,127,215,210,121,135,41,135,30,1,175
225,205,30,30,10,245,245,10,245,10,70,225,245,50,50,225,14,245,245,225,30,205,225,10,245,10,30,245,70,50,30,205,10,245,50,225,10,70,225,10,205,185,30,30,30,50,50,50,245,30,245,225,165,50,2,10,30,225,30,185,245,225,30,70
6,30,230,205,11,245,11,11,50,11,205,11,245,245,205,253,30,245,11,11,205,245,245,11,11,245,225,11,225,236,205,245,30,245,11,11,225,245,30,245,245,30,245,245,11,30,245,225,30,245,11,11,225,245,239,30,245,26,245,11,245,11,245,11
243,127,234,128,51,99,174,214,154,127,20,134,174,128,40,179,223,127,214,174,127,127,154,127,214,128,60,119,128,40,128,127,134,214,128,128,128,128,40,128,254,194,128,128,60,128,214,127,194,128,128,127,129,128,99,60,132,128,234,234,128,234,214,254
20,254,254,234,234,254,254,254,234,234,234,254,20,234,234,40,215,254,40,215,254,234,234,254,234,254,20,254,234,40,234,215,234,234,254,20,254,254,20,254,250,234,254,254,254,12,234,234,20,20,233,20,234,40,215,234,3,20,234,254,215,254,215,254
244,244,10,225,244,10,244,10,244,244,10,244,244,249,244,244,30,10,30,244,244,24,10,244,10,225,225,10,10,244,244,244,30,225,244,244,30,244,244,244,10,10,225,244,244,30,244,244,244,10,30,244,10,244,10,10,10,233,244,225,225,10,244,244
